prompt_postfix,prompt_prefix,prompt_placement,prompt_length,device,latency_visual_width,latency_visual_length,latency_batch_size,timed_iters,warmup_iters,throughput_videos_per_s,latency_median_ms,latency_std_ms,latency_mean_ms,sweep_type,attn_window,prompt_template,fusion_auc,fusion_ap,alpha,experiment,ablation_type,variant,seed,checkpoint,branch1_auc,branch1_ap,branch2_auc,branch2_ap,mAP@0.1,mAP@0.2,mAP@0.3,mAP@0.4,mAP@0.5,average_mAP,seed_count,seeds,branch1_auc_mean,branch1_auc_std,branch1_auc_variance,branch1_auc_ci95_low,branch1_auc_ci95_high,branch1_auc_ci95_half_width,branch1_ap_mean,branch1_ap_std,branch1_ap_variance,branch1_ap_ci95_low,branch1_ap_ci95_high,branch1_ap_ci95_half_width,branch2_auc_mean,branch2_auc_std,branch2_auc_variance,branch2_auc_ci95_low,branch2_auc_ci95_high,branch2_auc_ci95_half_width,branch2_ap_mean,branch2_ap_std,branch2_ap_variance,branch2_ap_ci95_low,branch2_ap_ci95_high,branch2_ap_ci95_half_width,mAP@0.1_mean,mAP@0.1_std,mAP@0.1_variance,mAP@0.1_ci95_low,mAP@0.1_ci95_high,mAP@0.1_ci95_half_width,mAP@0.2_mean,mAP@0.2_std,mAP@0.2_variance,mAP@0.2_ci95_low,mAP@0.2_ci95_high,mAP@0.2_ci95_half_width,mAP@0.3_mean,mAP@0.3_std,mAP@0.3_variance,mAP@0.3_ci95_low,mAP@0.3_ci95_high,mAP@0.3_ci95_half_width,mAP@0.4_mean,mAP@0.4_std,mAP@0.4_variance,mAP@0.4_ci95_low,mAP@0.4_ci95_high,mAP@0.4_ci95_half_width,mAP@0.5_mean,mAP@0.5_std,mAP@0.5_variance,mAP@0.5_ci95_low,mAP@0.5_ci95_high,mAP@0.5_ci95_half_width,average_mAP_mean,average_mAP_std,average_mAP_variance,average_mAP_ci95_low,average_mAP_ci95_high,average_mAP_ci95_half_width
0,0,,,,,,,,,,,,,prompt_tokens,,,,,,xd_ablation,,,,,0.9390886368875115,0.8030852904160202,0.8635188836459433,0.5407044284785487,25.407744518053693,19.32998891747819,13.616165948748202,9.007370862497883,5.363523016160424,14.544958652587678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,prompt_tokens,,,,,,xd_ablation,,,,,0.9390886368875115,0.8030852904160202,0.9280617226253379,0.7885996362241195,25.34600978812956,18.371960179572277,12.33733787450696,8.640909309105844,5.30543219743988,14.000329869750905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,,,,,,,,,,,,,prompt_tokens,,,,,,xd_ablation,,,,,0.9390886368875115,0.8030852904160202,0.9468126586913237,0.8450451936038323,37.011058221323545,30.820694031528657,23.382931312738712,17.92128132673955,14.34077216733271,24.695347411932637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,,,,,,,,,,,,,prompt_tokens,,,,,,xd_ablation,,,,,0.9390886368875115,0.8030852904160202,0.9118802691353736,0.7094388990878119,24.25537492204171,18.82606468473201,12.62122745662006,7.735478818934971,4.7661273675473,13.64085464997521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,attn_window,16,,,,,xd_ablation,,,,,0.9416253088809674,0.813303419368627,0.9479480227890771,0.847747320646485,37.65376990229216,32.01123670635944,25.647637545117068,19.308398125215646,14.464019569047773,25.817012369606413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,attn_window,32,,,,,xd_ablation,,,,,0.940613068405439,0.8090551615431162,0.9475289608769122,0.8463794518587981,36.29232034917884,30.103254820207624,23.894102796079437,17.636680750671623,13.745776991228356,24.334427141473174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,attn_window,64,,,,,xd_ablation,,,,,0.9390886368875115,0.8030852904160202,0.9468126586913237,0.8450451936038323,37.011058221323545,30.820694031528657,23.382931312738712,17.92128132673955,14.34077216733271,24.695347411932637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,attn_window,128,,,,,xd_ablation,,,,,0.9398366483345785,0.8092471595622627,0.9471102980172034,0.847218250284572,35.19187997633402,28.90680601903587,22.17193204245221,16.663506806408098,12.346562219540955,23.056137412754232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,prompt_template,,"[null, ""a video of {label}"", ""an anomalous event of {label}""]",,,,xd_ablation,,,,,0.9390886368875115,0.8030852904160202,0.9309200231856707,0.7747690759708354,29.094973631646297,22.414315053608274,16.345173024871528,11.895261841746816,7.407124133302166,17.431369537035017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,xd_baseline,,,,,0.9390886368875115,0.8030852904160202,0.9468126586913237,0.8450451936038323,37.011058221323545,30.820694031528657,23.382931312738712,17.92128132673955,14.34077216733271,24.695347411932637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
