experiment,ablation_type,variant,seed,prompt_length,prompt_placement,prompt_prefix,prompt_postfix,checkpoint,branch1_auc,branch1_ap,branch2_auc,branch2_ap,mAP@0.1,mAP@0.2,mAP@0.3,mAP@0.4,mAP@0.5,average_mAP,seed_count,seeds,branch1_auc_mean,branch1_auc_std,branch1_auc_ci95_low,branch1_auc_ci95_high,branch1_auc_ci95_half_width,branch1_ap_mean,branch1_ap_std,branch1_ap_ci95_low,branch1_ap_ci95_high,branch1_ap_ci95_half_width,branch2_auc_mean,branch2_auc_std,branch2_auc_ci95_low,branch2_auc_ci95_high,branch2_auc_ci95_half_width,branch2_ap_mean,branch2_ap_std,branch2_ap_ci95_low,branch2_ap_ci95_high,branch2_ap_ci95_half_width,mAP@0.1_mean,mAP@0.1_std,mAP@0.1_ci95_low,mAP@0.1_ci95_high,mAP@0.1_ci95_half_width,mAP@0.2_mean,mAP@0.2_std,mAP@0.2_ci95_low,mAP@0.2_ci95_high,mAP@0.2_ci95_half_width,mAP@0.3_mean,mAP@0.3_std,mAP@0.3_ci95_low,mAP@0.3_ci95_high,mAP@0.3_ci95_half_width,mAP@0.4_mean,mAP@0.4_std,mAP@0.4_ci95_low,mAP@0.4_ci95_high,mAP@0.4_ci95_half_width,mAP@0.5_mean,mAP@0.5_std,mAP@0.5_ci95_low,mAP@0.5_ci95_high,mAP@0.5_ci95_half_width,average_mAP_mean,average_mAP_std,average_mAP_ci95_low,average_mAP_ci95_high,average_mAP_ci95_half_width
xd_ablation,prompt_train,no_prompt,234,0,none,0,0,,0.9409787573791918,0.8191978627825898,0.9430388360269292,0.8235130952681144,33.94237062344137,26.846097452520123,20.376202067330773,14.688826166328827,11.198655012774772,21.410430264479167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,prompt_train_summary,no_prompt,,0,none,0,0,,,,,,,,,,,,1,234,0.9409787573791918,0.0,0.9409787573791918,0.9409787573791918,0.0,0.8191978627825898,0.0,0.8191978627825898,0.8191978627825898,0.0,0.9430388360269292,0.0,0.9430388360269292,0.9430388360269292,0.0,0.8235130952681144,0.0,0.8235130952681144,0.8235130952681144,0.0,33.94237062344137,0.0,33.94237062344137,33.94237062344137,0.0,26.846097452520123,0.0,26.846097452520123,26.846097452520123,0.0,20.376202067330773,0.0,20.376202067330773,20.376202067330773,0.0,14.688826166328827,0.0,14.688826166328827,14.688826166328827,0.0,11.198655012774772,0.0,11.198655012774772,11.198655012774772,0.0,21.410430264479167,0.0,21.410430264479167,21.410430264479167,0.0
xd_ablation,prompt_train,middle_4,234,4,middle,2,2,,0.9410683411060781,0.8183073180943343,0.9413951983647838,0.8160976330584446,35.847579797770244,28.490850989209182,22.66114870560868,16.366100595596585,12.230066794226287,23.119149376482195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,prompt_train_summary,middle_4,,4,middle,2,2,,,,,,,,,,,,1,234,0.9410683411060781,0.0,0.9410683411060781,0.9410683411060781,0.0,0.8183073180943343,0.0,0.8183073180943343,0.8183073180943343,0.0,0.9413951983647838,0.0,0.9413951983647838,0.9413951983647838,0.0,0.8160976330584446,0.0,0.8160976330584446,0.8160976330584446,0.0,35.847579797770244,0.0,35.847579797770244,35.847579797770244,0.0,28.490850989209182,0.0,28.490850989209182,28.490850989209182,0.0,22.66114870560868,0.0,22.66114870560868,22.66114870560868,0.0,16.366100595596585,0.0,16.366100595596585,16.366100595596585,0.0,12.230066794226287,0.0,12.230066794226287,12.230066794226287,0.0,23.119149376482195,0.0,23.119149376482195,23.119149376482195,0.0
xd_ablation,prompt_train,end_4,234,4,end,4,0,,0.9420307770104286,0.8208432565994205,0.942547612513218,0.8166722551257513,34.63037989759993,28.04032589570515,21.586290603679746,15.059821183368532,11.205465104042977,22.104456536879262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,prompt_train_summary,end_4,,4,end,4,0,,,,,,,,,,,,1,234,0.9420307770104286,0.0,0.9420307770104286,0.9420307770104286,0.0,0.8208432565994205,0.0,0.8208432565994205,0.8208432565994205,0.0,0.942547612513218,0.0,0.942547612513218,0.942547612513218,0.0,0.8166722551257513,0.0,0.8166722551257513,0.8166722551257513,0.0,34.63037989759993,0.0,34.63037989759993,34.63037989759993,0.0,28.04032589570515,0.0,28.04032589570515,28.04032589570515,0.0,21.586290603679746,0.0,21.586290603679746,21.586290603679746,0.0,15.059821183368532,0.0,15.059821183368532,15.059821183368532,0.0,11.205465104042977,0.0,11.205465104042977,11.205465104042977,0.0,22.104456536879262,0.0,22.104456536879262,22.104456536879262,0.0
xd_ablation,prompt_train,middle_6,234,6,middle,3,3,,0.9423717286794733,0.8230835338979312,0.9434436298441549,0.8314889791576949,33.56761449735727,26.917738197096348,20.784447759421713,14.495230835626577,10.616279183725705,21.276262094645524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,prompt_train_summary,middle_6,,6,middle,3,3,,,,,,,,,,,,1,234,0.9423717286794733,0.0,0.9423717286794733,0.9423717286794733,0.0,0.8230835338979312,0.0,0.8230835338979312,0.8230835338979312,0.0,0.9434436298441549,0.0,0.9434436298441549,0.9434436298441549,0.0,0.8314889791576949,0.0,0.8314889791576949,0.8314889791576949,0.0,33.56761449735727,0.0,33.56761449735727,33.56761449735727,0.0,26.917738197096348,0.0,26.917738197096348,26.917738197096348,0.0,20.784447759421713,0.0,20.784447759421713,20.784447759421713,0.0,14.495230835626577,0.0,14.495230835626577,14.495230835626577,0.0,10.616279183725705,0.0,10.616279183725705,10.616279183725705,0.0,21.276262094645524,0.0,21.276262094645524,21.276262094645524,0.0
xd_ablation,prompt_train,end_6,234,6,end,6,0,,0.9397748186073199,0.8130775571346854,0.9431805933039871,0.8242608657838565,33.83320934886585,27.737801350989304,21.280813274962814,14.635879549617586,10.519634184233393,21.60146754173379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,prompt_train_summary,end_6,,6,end,6,0,,,,,,,,,,,,1,234,0.9397748186073199,0.0,0.9397748186073199,0.9397748186073199,0.0,0.8130775571346854,0.0,0.8130775571346854,0.8130775571346854,0.0,0.9431805933039871,0.0,0.9431805933039871,0.9431805933039871,0.0,0.8242608657838565,0.0,0.8242608657838565,0.8242608657838565,0.0,33.83320934886585,0.0,33.83320934886585,33.83320934886585,0.0,27.737801350989304,0.0,27.737801350989304,27.737801350989304,0.0,21.280813274962814,0.0,21.280813274962814,21.280813274962814,0.0,14.635879549617586,0.0,14.635879549617586,14.635879549617586,0.0,10.519634184233393,0.0,10.519634184233393,10.519634184233393,0.0,21.60146754173379,0.0,21.60146754173379,21.60146754173379,0.0
xd_ablation,prompt_train,middle_8,234,8,middle,4,4,,0.9431289346208844,0.8186002235728719,0.9419504301893384,0.7949266013698382,33.68184671577294,27.33807554142832,20.94221952314823,15.214473144455534,11.657284524921375,21.76677988994528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,prompt_train_summary,middle_8,,8,middle,4,4,,,,,,,,,,,,1,234,0.9431289346208844,0.0,0.9431289346208844,0.9431289346208844,0.0,0.8186002235728719,0.0,0.8186002235728719,0.8186002235728719,0.0,0.9419504301893384,0.0,0.9419504301893384,0.9419504301893384,0.0,0.7949266013698382,0.0,0.7949266013698382,0.7949266013698382,0.0,33.68184671577294,0.0,33.68184671577294,33.68184671577294,0.0,27.33807554142832,0.0,27.33807554142832,27.33807554142832,0.0,20.94221952314823,0.0,20.94221952314823,20.94221952314823,0.0,15.214473144455534,0.0,15.214473144455534,15.214473144455534,0.0,11.657284524921375,0.0,11.657284524921375,11.657284524921375,0.0,21.76677988994528,0.0,21.76677988994528,21.76677988994528,0.0
xd_ablation,prompt_train,end_8,234,8,end,8,0,,0.9382719655951064,0.8074858134838334,0.9395727722151788,0.8138132255327948,34.76639372278246,28.773524900753912,21.692692525224764,15.16693424049851,11.355390983406476,22.350987274533225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,prompt_train_summary,end_8,,8,end,8,0,,,,,,,,,,,,1,234,0.9382719655951064,0.0,0.9382719655951064,0.9382719655951064,0.0,0.8074858134838334,0.0,0.8074858134838334,0.8074858134838334,0.0,0.9395727722151788,0.0,0.9395727722151788,0.9395727722151788,0.0,0.8138132255327948,0.0,0.8138132255327948,0.8138132255327948,0.0,34.76639372278246,0.0,34.76639372278246,34.76639372278246,0.0,28.773524900753912,0.0,28.773524900753912,28.773524900753912,0.0,21.692692525224764,0.0,21.692692525224764,21.692692525224764,0.0,15.16693424049851,0.0,15.16693424049851,15.16693424049851,0.0,11.355390983406476,0.0,11.355390983406476,11.355390983406476,0.0,22.350987274533225,0.0,22.350987274533225,22.350987274533225,0.0
xd_ablation,prompt_train,middle_10,234,10,middle,5,5,,0.9388779558670276,0.8110205554371448,0.9400711593084639,0.8025840673961713,35.09236280045247,28.457992678108912,21.99184674355376,16.40277411872601,12.203864015821793,22.82976807133259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,prompt_train_summary,middle_10,,10,middle,5,5,,,,,,,,,,,,1,234,0.9388779558670276,0.0,0.9388779558670276,0.9388779558670276,0.0,0.8110205554371448,0.0,0.8110205554371448,0.8110205554371448,0.0,0.9400711593084639,0.0,0.9400711593084639,0.9400711593084639,0.0,0.8025840673961713,0.0,0.8025840673961713,0.8025840673961713,0.0,35.09236280045247,0.0,35.09236280045247,35.09236280045247,0.0,28.457992678108912,0.0,28.457992678108912,28.457992678108912,0.0,21.99184674355376,0.0,21.99184674355376,21.99184674355376,0.0,16.40277411872601,0.0,16.40277411872601,16.40277411872601,0.0,12.203864015821793,0.0,12.203864015821793,12.203864015821793,0.0,22.82976807133259,0.0,22.82976807133259,22.82976807133259,0.0
xd_ablation,prompt_train,end_10,234,10,end,10,0,,0.9384274436404287,0.809968407263997,0.943245916660113,0.8267272303240328,35.435703751380785,28.953839967458133,21.30748476153075,15.519787712322156,11.763111439872791,22.595985526512923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,prompt_train_summary,end_10,,10,end,10,0,,,,,,,,,,,,1,234,0.9384274436404287,0.0,0.9384274436404287,0.9384274436404287,0.0,0.809968407263997,0.0,0.809968407263997,0.809968407263997,0.0,0.943245916660113,0.0,0.943245916660113,0.943245916660113,0.0,0.8267272303240328,0.0,0.8267272303240328,0.8267272303240328,0.0,35.435703751380785,0.0,35.435703751380785,35.435703751380785,0.0,28.953839967458133,0.0,28.953839967458133,28.953839967458133,0.0,21.30748476153075,0.0,21.30748476153075,21.30748476153075,0.0,15.519787712322156,0.0,15.519787712322156,15.519787712322156,0.0,11.763111439872791,0.0,11.763111439872791,11.763111439872791,0.0,22.595985526512923,0.0,22.595985526512923,22.595985526512923,0.0
xd_ablation,prompt_train,middle_12,234,12,middle,6,6,,0.93878751631452,0.8089710011202857,0.9428467286184714,0.8279547542916951,35.929104592939304,28.189781150361465,21.735245927802136,15.93554372072217,12.124593757472098,22.782853829859434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,prompt_train_summary,middle_12,,12,middle,6,6,,,,,,,,,,,,1,234,0.93878751631452,0.0,0.93878751631452,0.93878751631452,0.0,0.8089710011202857,0.0,0.8089710011202857,0.8089710011202857,0.0,0.9428467286184714,0.0,0.9428467286184714,0.9428467286184714,0.0,0.8279547542916951,0.0,0.8279547542916951,0.8279547542916951,0.0,35.929104592939304,0.0,35.929104592939304,35.929104592939304,0.0,28.189781150361465,0.0,28.189781150361465,28.189781150361465,0.0,21.735245927802136,0.0,21.735245927802136,21.735245927802136,0.0,15.93554372072217,0.0,15.93554372072217,15.93554372072217,0.0,12.124593757472098,0.0,12.124593757472098,12.124593757472098,0.0,22.782853829859434,0.0,22.782853829859434,22.782853829859434,0.0
xd_ablation,prompt_train,end_12,234,12,end,12,0,,0.9409879436135035,0.818617092820306,0.9435042117674401,0.823205509499491,34.214692629075735,27.766119957622852,21.062193462516884,15.240513414039764,11.444190537354723,21.945542000121996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,prompt_train_summary,end_12,,12,end,12,0,,,,,,,,,,,,1,234,0.9409879436135035,0.0,0.9409879436135035,0.9409879436135035,0.0,0.818617092820306,0.0,0.818617092820306,0.818617092820306,0.0,0.9435042117674401,0.0,0.9435042117674401,0.9435042117674401,0.0,0.823205509499491,0.0,0.823205509499491,0.823205509499491,0.0,34.214692629075735,0.0,34.214692629075735,34.214692629075735,0.0,27.766119957622852,0.0,27.766119957622852,27.766119957622852,0.0,21.062193462516884,0.0,21.062193462516884,21.062193462516884,0.0,15.240513414039764,0.0,15.240513414039764,15.240513414039764,0.0,11.444190537354723,0.0,11.444190537354723,11.444190537354723,0.0,21.945542000121996,0.0,21.945542000121996,21.945542000121996,0.0
xd_ablation,prompt_train,middle_14,234,14,middle,7,7,,0.9391881689528165,0.8109117123799587,0.9437882699909271,0.8301536180306992,34.51285228717953,27.68181349277522,20.593423064980186,15.29989794025626,12.069866234684776,22.031570603975194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,prompt_train_summary,middle_14,,14,middle,7,7,,,,,,,,,,,,1,234,0.9391881689528165,0.0,0.9391881689528165,0.9391881689528165,0.0,0.8109117123799587,0.0,0.8109117123799587,0.8109117123799587,0.0,0.9437882699909271,0.0,0.9437882699909271,0.9437882699909271,0.0,0.8301536180306992,0.0,0.8301536180306992,0.8301536180306992,0.0,34.51285228717953,0.0,34.51285228717953,34.51285228717953,0.0,27.68181349277522,0.0,27.68181349277522,27.68181349277522,0.0,20.593423064980186,0.0,20.593423064980186,20.593423064980186,0.0,15.29989794025626,0.0,15.29989794025626,15.29989794025626,0.0,12.069866234684776,0.0,12.069866234684776,12.069866234684776,0.0,22.031570603975194,0.0,22.031570603975194,22.031570603975194,0.0
xd_ablation,prompt_train,end_14,234,14,end,14,0,,0.9408899105616554,0.8176850163736132,0.9453825347847001,0.833030953677264,32.95966836363227,26.566463811963388,20.526952447465185,14.42646808783253,11.151864710560417,21.12628348429076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
