experiment,ablation_type,variant,seed,checkpoint,branch1_auc,branch1_ap,branch2_auc,branch2_ap,mAP@0.1,mAP@0.2,mAP@0.3,mAP@0.4,mAP@0.5,average_mAP,seed_count,seeds,branch1_auc_mean,branch1_auc_std,branch1_auc_variance,branch1_auc_ci95_low,branch1_auc_ci95_high,branch1_auc_ci95_half_width,branch1_ap_mean,branch1_ap_std,branch1_ap_variance,branch1_ap_ci95_low,branch1_ap_ci95_high,branch1_ap_ci95_half_width,branch2_auc_mean,branch2_auc_std,branch2_auc_variance,branch2_auc_ci95_low,branch2_auc_ci95_high,branch2_auc_ci95_half_width,branch2_ap_mean,branch2_ap_std,branch2_ap_variance,branch2_ap_ci95_low,branch2_ap_ci95_high,branch2_ap_ci95_half_width,mAP@0.1_mean,mAP@0.1_std,mAP@0.1_variance,mAP@0.1_ci95_low,mAP@0.1_ci95_high,mAP@0.1_ci95_half_width,mAP@0.2_mean,mAP@0.2_std,mAP@0.2_variance,mAP@0.2_ci95_low,mAP@0.2_ci95_high,mAP@0.2_ci95_half_width,mAP@0.3_mean,mAP@0.3_std,mAP@0.3_variance,mAP@0.3_ci95_low,mAP@0.3_ci95_high,mAP@0.3_ci95_half_width,mAP@0.4_mean,mAP@0.4_std,mAP@0.4_variance,mAP@0.4_ci95_low,mAP@0.4_ci95_high,mAP@0.4_ci95_half_width,mAP@0.5_mean,mAP@0.5_std,mAP@0.5_variance,mAP@0.5_ci95_low,mAP@0.5_ci95_high,mAP@0.5_ci95_half_width,average_mAP_mean,average_mAP_std,average_mAP_variance,average_mAP_ci95_low,average_mAP_ci95_high,average_mAP_ci95_half_width
xd_ablation,adapter_train,baseline,234,,0.9037436124876945,0.7463804810215691,0.917015156667613,0.7385253124873391,28.129260448290005,21.23212368386886,14.6009783820617,9.907909780866762,6.019039756678295,15.977862410353122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,adapter_train,baseline,235,,0.8820413928325406,0.7063371514623408,0.906070716790315,0.7445558623282758,28.14605133272653,20.210890961300247,14.17532014821986,10.06035211793386,6.369352267040405,15.792393365444179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,adapter_train,baseline,236,,0.8828496812285587,0.7000942751105456,0.9045502724464927,0.7357741124878454,28.229457339705487,20.44101359685291,14.59363782745316,10.691366215763853,6.93911401258585,16.17891779847225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,adapter_train,baseline,237,,0.8761806194617063,0.6930575582685384,0.9095492295492339,0.7562260835934621,28.358783843195983,20.62569931368308,14.38193717498401,10.166532239154446,6.704210470613339,16.04743260832617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,adapter_train,baseline,238,,0.8802901525225243,0.7028688889662258,0.9093269966576065,0.763467359551599,27.757703368788633,19.901269721617858,14.861373459268586,10.834237115052968,7.1033129399240735,16.091579320930425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,adapter_train_summary,baseline,,,,,,,,,,,,,5,"234,235,236,237,238",0.8850210917066049,0.010778011740563437,0.0001161655370797233,0.8716405679958462,0.8984016154173636,0.01338052371075866,0.7097476709658439,0.0210514843363166,0.0004431649927621831,0.6836129912040251,0.7358823507276627,0.02613467976181881,0.9093024744222522,0.004810785743010685,2.3143659465154866e-05,0.9033300525831228,0.9152748962613816,0.0059724218391294034,0.7477097460897043,0.011806677552841397,0.00013939763483676894,0.7330521698368863,0.7623673223425224,0.014657576252818012,28.12425126654133,0.22412694141785183,0.05023288586932119,27.846005526413325,28.402497006669332,0.2782457401280034,20.482199455464592,0.4989394971534638,0.2489406218197513,19.86278356201457,21.101615348914613,0.6194158934500218,14.522649398397464,0.2580437530737691,0.06658657850039632,14.20229712568448,14.843001671110448,0.3203522727129839,10.332079493754378,0.4069431258934149,0.16560270771190372,9.826873869932852,10.837285117575904,0.5052056238215262,6.627005889368393,0.437678147143957,0.19156216048736727,6.083643814200113,7.1703679645366725,0.5433620751682798,16.01763710070523,0.145502108185237,0.021170863486348415,15.837001334535971,16.198272866874486,0.1806357661692581
xd_ablation,adapter_train,global_tf,234,,0.9228777685923188,0.7692592019423501,0.9273825473122752,0.7890806524221097,30.066238705053866,22.914089600984468,17.77944906255579,13.371327652365753,10.076278144372681,18.84147663306651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,adapter_train,global_tf,235,,0.9229299535456479,0.7660147311355746,0.9242586049096008,0.7690458605081373,30.14872437567802,23.233557260992807,17.411055768182507,12.951771315250985,9.337878504702976,18.616597444961457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,adapter_train,global_tf,236,,0.9275666348096521,0.7866937261333848,0.927929446878755,0.7888124094850752,28.48349976963466,22.536657522987984,16.316146370155135,12.673392415713089,8.737587694122544,17.74945675452268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,adapter_train,global_tf,237,,0.9307632438534938,0.7964400764018094,0.9308711473705623,0.8007015891627256,31.038041544436673,23.55645450458924,18.41680425390148,13.72590746410191,10.262168189575805,19.399875191321023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
