experiment,ablation_type,variant,seed,checkpoint,branch1_auc,branch1_ap,branch2_auc,branch2_ap,mAP@0.1,mAP@0.2,mAP@0.3,mAP@0.4,mAP@0.5,average_mAP,seed_count,seeds,branch1_auc_mean,branch1_auc_std,branch1_auc_variance,branch1_auc_ci95_low,branch1_auc_ci95_high,branch1_auc_ci95_half_width,branch1_ap_mean,branch1_ap_std,branch1_ap_variance,branch1_ap_ci95_low,branch1_ap_ci95_high,branch1_ap_ci95_half_width,branch2_auc_mean,branch2_auc_std,branch2_auc_variance,branch2_auc_ci95_low,branch2_auc_ci95_high,branch2_auc_ci95_half_width,branch2_ap_mean,branch2_ap_std,branch2_ap_variance,branch2_ap_ci95_low,branch2_ap_ci95_high,branch2_ap_ci95_half_width,mAP@0.1_mean,mAP@0.1_std,mAP@0.1_variance,mAP@0.1_ci95_low,mAP@0.1_ci95_high,mAP@0.1_ci95_half_width,mAP@0.2_mean,mAP@0.2_std,mAP@0.2_variance,mAP@0.2_ci95_low,mAP@0.2_ci95_high,mAP@0.2_ci95_half_width,mAP@0.3_mean,mAP@0.3_std,mAP@0.3_variance,mAP@0.3_ci95_low,mAP@0.3_ci95_high,mAP@0.3_ci95_half_width,mAP@0.4_mean,mAP@0.4_std,mAP@0.4_variance,mAP@0.4_ci95_low,mAP@0.4_ci95_high,mAP@0.4_ci95_half_width,mAP@0.5_mean,mAP@0.5_std,mAP@0.5_variance,mAP@0.5_ci95_low,mAP@0.5_ci95_high,mAP@0.5_ci95_half_width,average_mAP_mean,average_mAP_std,average_mAP_variance,average_mAP_ci95_low,average_mAP_ci95_high,average_mAP_ci95_half_width
xd_ablation,loss,full,234,,0.9413939062419211,0.8146317156538009,0.9427197008951791,0.8084011060639448,35.38067554824772,28.518644473791976,21.63314049042242,16.21026754035885,12.046603815389464,22.757866373642088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,loss,full,235,,0.9371186695223337,0.7981218136753304,0.9376904361490126,0.7805433402170463,35.54285393258193,27.213495472112864,20.995961221236943,16.068563195140236,12.964097613005407,22.556994286815474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,loss,full,236,,0.9369097852745526,0.7936087360251434,0.9344688356883575,0.780277241031708,35.56730989195655,27.86307010704735,21.585620435877285,15.648963551379563,11.804867808555144,22.493966358963178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,loss,full,237,,0.9356083285666977,0.7910076594882509,0.942194000105126,0.8259157121488978,36.01103332081467,27.18720725012033,21.05773578737205,15.439473822207567,11.038763782311092,22.146842792565145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,loss,full,238,,0.9411831625579775,0.7998789323263468,0.9380368450374535,0.8087580844322175,32.79689434663533,25.88451135542765,19.939054396013102,14.859884855120661,10.943617483272035,20.88479248729376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,loss_train_summary,full,,,,,,,,,,,,,5,"234,235,236,237,238",0.9384427704326965,0.0026625316417100845,7.089074743107397e-06,0.935137330744923,0.94174821012047,0.003305439687773485,0.7994497714337745,0.00919002216979851,8.44565074813881e-05,0.7880406811019655,0.8108588617655835,0.011409090331809047,0.9390219635750258,0.003435457553543454,1.1802368602198773e-05,0.9347569634656373,0.9432869636844142,0.004265000109388456,0.8007790967787629,0.019896109132702212,0.0003958551586203964,0.7760787748260567,0.8254794187314691,0.024700321952706168,35.059753408047236,1.2864151084976165,1.6548638313709347,33.46271415113595,36.65679266495852,1.5970392569112846,27.333385731700034,0.9772899523979515,0.9550956510579902,26.120114518500984,28.546656944899084,1.2132712131990486,21.04230246618436,0.6826100625173095,0.46595649744988515,20.19486600512166,21.88973892724706,0.8474364610627,15.645430592841375,0.537957887670165,0.2893986889065458,14.977574735506412,16.31328645017634,0.6678558573349626,11.759590100506628,0.8247222538714127,0.680166796030743,10.735726336173794,12.783453864839462,1.0238637643328339,22.168092459855927,0.7504302210153376,0.5631455166131285,21.236459649717546,23.09972526999431,0.9316328101383818
xd_ablation,loss,bce_nce,234,,0.9403260498061902,0.8101027332039659,0.9419122859561371,0.80413780386274,35.93400912400097,28.68512921829714,22.142376799003753,16.583490781677604,12.73189627225161,23.21538043904622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,loss,bce_nce,235,,0.9374157726593133,0.799179287919079,0.9379115511082627,0.7822693895600895,35.628005463758825,27.318480288616893,21.14832242536777,16.08630133375381,12.983587353363035,22.632939372972068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,loss,bce_nce,236,,0.9368170159450329,0.7971939412787605,0.9337306447814144,0.7667500550432469,35.695519893359176,27.785442149754687,21.661505922391687,16.549279358328544,12.690216110704988,22.876392686907813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,loss,bce_nce,237,,0.9362359916297849,0.794458932493183,0.9325565577754685,0.8011526554745831,34.01308137948072,27.82354044868473,21.76381477250553,15.99023215320454,11.384023050227663,22.194938360820636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,loss,bce_nce,238,,0.9366646861248675,0.7941373484710863,0.9341991709862476,0.7651911742245661,35.843524071513556,27.74738197122432,22.77690501287837,17.81725360391145,14.039083564610507,23.64482964482764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
